,Final Translation,Symbols
Lyceum-2,"If parts are changed or taken, what remains? If it is forgotten, knowledge and history change into stories. And presently, we know nothing, as we look to a history abandoned.",e..l;)P..lN..H=..k..Hi’..n)n..vJsX..........e..h..N..HiIm)B..B....HC..=..g..lHB..........^..RC#..~..IB@..i.._..~..O..v..\..HC..RLRiw
Lyceum-3,"How will our ancient knowledge guide us? Will the knowledge give us prosperity, or abandon us as our home did in the past?",nIn..}..RYH..B..iHiPDwE..{..........q..B..iH”..{..iH/..k..LRiw..{.._..}..EC..HK..f..q..H
Lyceum-4,"Fields wait in the Sky, in skyward cups to drink their fill. And with an etching from the past, we have learned lost knowledge. In taking the movement around us we send materials far distances, dancing between moments. Water below reforms above and falls as rain.",l&m-EC..iL..f..q..$..f..RL$..lCI(..v..I<(..r..;iV..........^..y..\..);Q..d..q..H..~..M..HImwB..nCn<..B..........f..i”..q..D..RiC..{..~..“D..)..RYiC..lCF..I<DA..fw..lil#..........(..iS..$D=..S..^..IUDv&m.._..(d$
Lyceum-5,"We live by our stories, we cling to them for answers forgotten. So we will observe the horizon and the veil below us. We will search for our lost Earth beyond the veil, and for the families unseen beyond the horizon.",~..YI-..b..}..lHB..~..YIm)..v..q..lHB..c..lin..RiIm)B..........o..~..iHYO..q..@j$..^..q..;EiO..iS..{..........~..Og..c..}..nCn<..&..Ri@YiC..q..;EiO..^..c..q..llEw..R<iO..Ri@YiC..q..@j$
Observatory-1,"We have noticed it, birth and death in a cycle. Opening somewhere separate. A twisting opening, a wide eye in the storm. Named ‘cyclops’ from the found story. A connection from Earth to Sky. We observe it, but beyond the storm is unseen. Why?",~..M..@O..h..@H-..^..@-..f..\..#T..........IPC..nC..RP..........\..ID#T..;PC..\..RFP..;<O..f..q..$>..........IBm<..<il;<O..d..q..RiU@O..HB..........\..<w<..d..&..v..$..........~..YO..h..a..Ri@YiC..q..$>..N..R<iO..........nBn
Observatory-2,"Stones crash into us more frequently. Storms scream. The land below us shakes. Somehow, our land shrinks. I looked to the horizon again, but this time I found parts of land I do not know. Is it moving? Are we moving too?",l&m)..IUD@..g..{..Y..Y#..........l$>..YQ..........q..&m..iS..{..IC..........nI..}..&m..IiYF..........z..HO..v..q..@j$..T..a..u..#..z..HiU@O..l;)P..j..&m..z..K..i..IB@..........N..h..ID..........lN..~..ID..x
Observatory-3,Observe with light to open the sky.,YO..y..+..v..IPC..q..$
Vessel Memorial-1,"It is a large mistake. We know the sacrifices, reading found stories from lost names.",h..N..\..RYF..........~..IB@..q..l)c/..BO..RiU@O..lHB..d..nCn<..Bm<
Vessel Memorial-2,"You went into the storm with wings shaking, separated, and downed. We have not honored you or taught your virtues. We forgot and you rot.",iz..HL..g..q..$>..y..l$A<;)P..HICD..HP..^..RUDv&m..........~..M..i..H”B/..iz..k..H”B@..izm..liU-A..........~..HiIm)B..^..iz..IiH<@
Vessel Memorial-3,"So we write here, below downed wings, to mourn your failure and our failure.",o..~..IB)..is..iS..RUDv&.. l$A<;)P..v..IUAci-..izm..;iIG..^..}..;iIG
Tower Floor 3-1,"We reformed materials from the unseen horizon. We changed our water into a ball, sent it beyond the top of the Tower to fall as rain. Our future is a storm. There is not a home for us here, us wingless people. The tower will take us beyond, and we hope we go to a separate land below a blessed sky.",~..H$D=..l)..d..q..R<iO..@j$..........~..H=..}..(..g..\..#T)..H”D..h..Ri@YiC..q..S@C..j..q..‘..v..IUDv&m.._..(d$..........}..iH..N..\..$>..........s..N..i..\..EC..c..{..is..{..Ri$A<;)P..lE..........q..‘..iHi”..{..Ri@YiC....~../A..~..L..v..\..RP..&m..iS..\..R/..$
Tower Floor 3-2,"As the land crumbles below us and we abandon everything, I only have my thoughts. Was it good to focus this only, looking for no other answer?",_..q..&m..I)PU..iS..{..^..~..LRiw..YnB..z..Ril..M..zm..l;I..         HN..h..iU..v..IBY..u..Ril..O..c..i....in
Tower Floor 3-3,"We will be a ball of light, but what will be the other side? Anything? A new land, far from the Earth that cast us out?",~..iHJ..\..#T)..j..+..a..n)n..iHJ..q..Z..;CP..........)fV..........\..R@H..&m..RYiC..d..q..&..p..>LdC..{..if
Tower Floor 3-4,"To you reading this, know we came together, with our differences. Shared between us to the end.",v..iz..BO..u..IB@..~..HIDuC..w..y..}..l;iW..........wIm.. fw..{..v..q..@
